               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12922,             0.07404,                   0,          0.00045139,            0.010651,          0.00022853,          4.9898e-05,             0.12195,            0.072058,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.12207,            0.079746,                   0,           0.0048611,             0.11471,           0.0029767,           0.0006231,             0.11432,            0.068252,                   0,            0.079292,           0.0022924,           0.0022924
                   2,             0.11314,            0.076045,                   0,             0.10252,             0.23228,             0.06399,            0.013406,              0.1095,             0.05606,                   0,            0.068477,           0.0034769,           0.0034769
                   3,              0.1025,            0.070323,                   0,            0.087041,             0.42687,            0.069758,            0.017615,             0.10542,            0.084833,                   0,            0.057653,           0.0046535,           0.0046535
                   4,            0.094506,            0.064625,                   0,             0.26858,             0.29783,             0.18892,            0.043015,             0.08993,            0.060092,                   0,            0.046822,           0.0058221,           0.0058221
                   5,            0.090158,            0.063684,                   0,             0.21311,             0.30438,             0.17391,            0.041114,            0.086262,            0.058453,                   0,            0.035983,           0.0069829,           0.0069829
                   6,            0.085734,            0.065895,                   0,             0.42789,             0.37689,             0.35994,            0.092094,            0.086544,            0.050647,                   0,            0.025136,           0.0081357,           0.0081357
                   7,            0.082865,            0.065623,                   0,              0.1215,             0.61163,             0.11209,             0.04171,            0.083393,            0.049078,                   0,            0.014281,           0.0092806,           0.0092806
                   8,            0.080719,            0.062024,                   0,             0.61835,             0.53707,             0.57293,              0.2214,            0.083954,            0.041994,                   0,            0.009736,            0.009736,            0.009736
                   9,            0.084443,            0.060495,                   0,             0.21742,             0.61204,             0.21524,            0.077809,            0.074619,            0.049005,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.079178,            0.062569,                   0,             0.44193,             0.61995,              0.4359,             0.19806,            0.065142,            0.046957,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.072446,            0.057777,                   0,             0.51018,              0.5592,             0.54325,             0.25741,            0.070486,            0.044273,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.06725,            0.060895,                   0,             0.54019,             0.56983,             0.57543,             0.27576,            0.068257,            0.048882,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.06378,             0.05918,                   0,             0.55109,             0.60795,             0.63422,             0.26416,            0.063647,            0.045587,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.06435,            0.059979,                   0,             0.45935,             0.65834,             0.51702,             0.13833,            0.062351,            0.042736,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.05966,             0.05515,                   0,              0.8203,             0.86586,             0.87858,             0.37737,            0.048405,            0.042443,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.059121,            0.057836,                   0,             0.61629,             0.67707,             0.66302,             0.22266,            0.069113,            0.044935,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.058331,            0.055964,                   0,             0.89331,             0.87128,              0.9388,             0.45416,            0.050949,            0.045267,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.053272,            0.057956,                   0,             0.52736,             0.75379,             0.64388,             0.35083,            0.061151,            0.043744,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.055441,            0.057678,                   0,             0.91329,             0.90613,             0.95672,             0.52299,            0.042945,            0.041695,                   0,            0.009406,            0.009406,            0.009406
