               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12922,             0.07404,                   0,          0.00045139,            0.010651,          0.00022853,          4.9898e-05,             0.12195,            0.072058,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.12208,             0.07974,                   0,           0.0048264,             0.11389,           0.0029524,          0.00063047,             0.11453,            0.068213,                   0,            0.079289,           0.0022886,           0.0022886
                   2,             0.11313,            0.076113,                   0,             0.10231,             0.21917,            0.065578,             0.01376,               0.108,            0.056682,                   0,            0.068465,           0.0034654,           0.0034654
                   3,             0.10166,            0.070323,                   0,            0.057487,             0.49324,            0.049597,            0.012954,             0.10171,            0.083901,                   0,             0.05763,           0.0046302,           0.0046302
