               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.084415,            0.063957,                   0,             0.26965,             0.51394,             0.25215,            0.081061,            0.091852,            0.052601,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.090681,            0.073003,                   0,             0.26965,             0.51394,             0.25215,            0.081061,            0.091852,            0.052601,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.094186,             0.06018,                   0,             0.55869,             0.58367,             0.59971,             0.18752,            0.081361,            0.057534,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.082592,            0.061844,                   0,             0.55869,             0.58367,             0.59971,             0.18752,            0.081361,            0.057534,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.080168,            0.068967,                   0,             0.73309,             0.68725,             0.71932,             0.22119,            0.087331,            0.056338,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.091655,            0.062918,                   0,             0.73309,             0.68725,             0.71932,             0.22119,            0.087331,            0.056338,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.091544,            0.064056,                   0,             0.47223,             0.59888,             0.50052,             0.14464,             0.08477,            0.055796,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.087205,            0.064199,                   0,             0.47223,             0.59888,             0.50052,             0.14464,             0.08477,            0.055796,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.078859,            0.069484,                   0,             0.35387,             0.55179,             0.34717,            0.079257,            0.084958,            0.057672,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.084035,            0.057222,                   0,             0.35387,             0.55179,             0.34717,            0.079257,            0.084958,            0.057672,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.08617,            0.067392,                   0,             0.43469,             0.63347,             0.47129,             0.15066,            0.069587,            0.062021,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,             0.07297,            0.085626,                   0,             0.43469,             0.63347,             0.47129,             0.15066,            0.069587,            0.062021,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.072649,            0.073464,                   0,             0.38638,              0.5996,              0.4015,             0.14376,            0.078508,            0.059153,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.075432,            0.074629,                   0,             0.38638,              0.5996,              0.4015,             0.14376,            0.078508,            0.059153,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.075842,            0.077154,                   0,             0.72615,             0.72367,              0.7741,             0.29874,            0.072267,            0.061701,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.070743,            0.064616,                   0,             0.72615,             0.72367,              0.7741,             0.29874,            0.072267,            0.061701,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.074386,            0.075625,                   0,             0.62189,             0.63562,             0.66771,             0.24989,            0.075835,            0.060118,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.080357,            0.068011,                   0,             0.62189,             0.63562,             0.66771,             0.24989,            0.075835,            0.060118,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.072854,            0.075493,                   0,             0.63227,             0.70555,             0.67227,             0.26191,            0.062334,            0.061776,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,             0.06354,            0.081694,                   0,             0.63227,             0.70555,             0.67227,             0.26191,            0.062334,            0.061776,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.061272,            0.069776,                   0,             0.65069,             0.68725,              0.6741,             0.24239,            0.067479,            0.061341,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,             0.06743,            0.073769,                   0,             0.65069,             0.68725,              0.6741,             0.24239,            0.067479,            0.061341,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.065985,            0.071597,                   0,             0.62083,             0.71514,             0.63745,             0.19625,            0.058119,            0.064016,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.062645,            0.081245,                   0,             0.62083,             0.71514,             0.63745,             0.19625,            0.058119,            0.064016,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.064403,            0.081862,                   0,             0.47571,             0.69124,             0.50708,              0.2136,            0.065898,            0.061002,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.066395,            0.078666,                   0,             0.47571,             0.69124,             0.50708,              0.2136,            0.065898,            0.061002,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.063028,             0.07734,                   0,             0.50039,             0.74618,             0.54248,             0.20661,            0.062487,            0.063773,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.065001,            0.079522,                   0,             0.50039,             0.74618,             0.54248,             0.20661,            0.062487,            0.063773,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.067829,            0.075292,                   0,             0.52322,              0.6494,              0.5949,             0.19154,            0.060772,            0.060728,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.058879,            0.075564,                   0,             0.52322,              0.6494,              0.5949,             0.19154,            0.060772,            0.060728,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.060462,            0.079636,                   0,             0.52783,             0.72709,             0.56864,             0.17765,            0.057384,            0.061348,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.065015,            0.073238,                   0,             0.52783,             0.72709,             0.56864,             0.17765,            0.057384,            0.061348,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.061891,             0.06976,                   0,             0.47767,             0.73705,             0.53175,             0.23619,            0.065069,             0.05886,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.064856,            0.079172,                   0,             0.47767,             0.73705,             0.53175,             0.23619,            0.065069,             0.05886,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.067028,            0.072904,                   0,             0.83641,             0.84537,             0.88949,             0.39909,            0.050524,            0.060508,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.057204,            0.070962,                   0,             0.83641,             0.84537,             0.88949,             0.39909,            0.050524,            0.060508,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.059742,            0.070666,                   0,             0.71525,             0.70518,             0.77538,              0.3015,            0.069012,            0.059495,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.063424,            0.069925,                   0,             0.71525,             0.70518,             0.77538,              0.3015,            0.069012,            0.059495,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.071623,            0.065766,                   0,              0.8304,             0.89442,             0.90368,             0.42626,            0.048088,            0.061374,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.052777,            0.076002,                   0,              0.8304,             0.89442,             0.90368,             0.42626,            0.048088,            0.061374,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.054829,            0.079063,                   0,             0.70623,             0.75896,             0.81359,             0.38502,            0.059288,            0.059741,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.057087,            0.074125,                   0,             0.70623,             0.75896,             0.81359,             0.38502,            0.059288,            0.059741,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.058429,            0.073892,                   0,             0.73049,             0.78831,              0.8335,             0.41029,            0.049826,            0.059008,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.058763,            0.074794,                   0,             0.73049,             0.78831,              0.8335,             0.41029,            0.049826,            0.059008,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.052693,            0.065008,                   0,             0.74566,             0.75299,             0.80547,             0.39315,            0.055894,            0.057484,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.054449,            0.072136,                   0,             0.74566,             0.75299,             0.80547,             0.39315,            0.055894,            0.057484,                   0,            0.005941,            0.005941,            0.005941
                  84,             0.05668,             0.07163,                   0,             0.87053,              0.8745,              0.9237,             0.46765,             0.04964,            0.058482,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.052584,            0.064174,                   0,             0.87053,              0.8745,              0.9237,             0.46765,             0.04964,            0.058482,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.054997,            0.073207,                   0,             0.80889,             0.75041,             0.85611,             0.40179,            0.050984,            0.058973,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.053268,            0.070171,                   0,             0.80889,             0.75041,             0.85611,             0.40179,            0.050984,            0.058973,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.052908,            0.064211,                   0,             0.80237,             0.85729,             0.87759,             0.42366,            0.051616,            0.058373,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.055803,            0.074387,                   0,             0.80237,             0.85729,             0.87759,             0.42366,            0.051616,            0.058373,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.056348,            0.065476,                   0,             0.82119,              0.8745,              0.8833,             0.39611,            0.048303,            0.057724,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.052247,            0.084768,                   0,             0.82119,              0.8745,              0.8833,             0.39611,            0.048303,            0.057724,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.050538,            0.076788,                   0,             0.91059,             0.91833,             0.93754,             0.43671,            0.048347,            0.058035,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.050438,            0.071078,                   0,             0.91059,             0.91833,             0.93754,             0.43671,            0.048347,            0.058035,                   0,            0.005446,            0.005446,            0.005446
                  94,             0.05258,            0.077467,                   0,             0.81541,             0.81834,             0.88652,              0.4368,            0.047853,            0.057449,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.052112,            0.074821,                   0,             0.81541,             0.81834,             0.88652,              0.4368,            0.047853,            0.057449,                   0,            0.005347,            0.005347,            0.005347
                  96,             0.05073,            0.063629,                   0,             0.86823,             0.88446,             0.92902,              0.4627,            0.047816,            0.056418,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.055847,            0.058886,                   0,             0.86823,             0.88446,             0.92902,              0.4627,            0.047816,            0.056418,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.051214,            0.066004,                   0,             0.87476,             0.90239,              0.9415,             0.47716,            0.047009,            0.055662,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.049251,            0.067135,                   0,             0.87476,             0.90239,              0.9415,             0.47716,            0.047009,            0.055662,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.049923,            0.065494,                   0,             0.91063,             0.91335,             0.95323,             0.49756,             0.04534,            0.055552,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.050254,            0.067917,                   0,             0.91063,             0.91335,             0.95323,             0.49756,             0.04534,            0.055552,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.051248,            0.073806,                   0,             0.82532,             0.82825,              0.8982,             0.39912,            0.049944,             0.05571,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.05084,            0.072632,                   0,             0.82532,             0.82825,              0.8982,             0.39912,            0.049944,             0.05571,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.050924,            0.072524,                   0,             0.93746,             0.92564,             0.97027,             0.51803,            0.043395,            0.054777,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.050547,            0.066188,                   0,             0.93746,             0.92564,             0.97027,             0.51803,            0.043395,            0.054777,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.052077,            0.065034,                   0,             0.87498,             0.86653,             0.94309,              0.4683,            0.048201,            0.054689,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.050353,            0.074525,                   0,             0.87498,             0.86653,             0.94309,              0.4683,            0.048201,            0.054689,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.04996,            0.070629,                   0,             0.91928,             0.93426,             0.96945,             0.52506,            0.042167,            0.055153,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.048344,            0.067193,                   0,             0.91928,             0.93426,             0.96945,             0.52506,            0.042167,            0.055153,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.048258,            0.061335,                   0,              0.8781,             0.90837,             0.95178,             0.51891,            0.045785,            0.054788,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,              0.0514,            0.073926,                   0,              0.8781,             0.90837,             0.95178,             0.51891,            0.045785,            0.054788,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.043586,            0.068545,                   0,             0.93651,              0.9243,             0.96898,             0.53542,            0.042495,            0.054684,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.046055,            0.063162,                   0,             0.93651,              0.9243,             0.96898,             0.53542,            0.042495,            0.054684,                   0,            0.004456,            0.004456,            0.004456
                 114,             0.04785,             0.06941,                   0,             0.89091,             0.93227,             0.95764,             0.50339,            0.043596,            0.054665,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.049093,            0.066129,                   0,             0.89091,             0.93227,             0.95764,             0.50339,            0.043596,            0.054665,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.043087,            0.064155,                   0,             0.95219,             0.94223,             0.97393,             0.53321,            0.039142,            0.054182,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.04502,            0.069849,                   0,             0.95219,             0.94223,             0.97393,             0.53321,            0.039142,            0.054182,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.04515,            0.065982,                   0,             0.86835,             0.93288,             0.95178,             0.52154,            0.044502,              0.0543,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,             0.04697,            0.065753,                   0,             0.86835,             0.93288,             0.95178,             0.52154,            0.044502,              0.0543,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.047889,            0.063827,                   0,             0.93945,             0.94422,             0.97333,              0.5405,            0.039051,            0.053806,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.045651,            0.060103,                   0,             0.93945,             0.94422,             0.97333,              0.5405,            0.039051,            0.053806,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.043158,             0.06605,                   0,             0.92171,             0.94422,             0.96577,             0.53798,            0.039208,             0.05376,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.044934,             0.06227,                   0,             0.92171,             0.94422,             0.96577,             0.53798,            0.039208,             0.05376,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.041873,            0.070909,                   0,             0.95328,             0.94622,             0.97629,             0.53861,            0.038063,            0.053917,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.039033,            0.059607,                   0,             0.95328,             0.94622,             0.97629,             0.53861,            0.038063,            0.053917,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.039723,            0.065739,                   0,             0.93537,             0.95138,             0.97007,             0.54439,            0.039124,            0.053507,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.046243,            0.070541,                   0,             0.93537,             0.95138,             0.97007,             0.54439,            0.039124,            0.053507,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.042074,            0.066415,                   0,             0.94629,             0.94768,             0.97262,             0.53812,            0.038214,            0.053365,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.040728,            0.059006,                   0,             0.94629,             0.94768,             0.97262,             0.53812,            0.038214,            0.053365,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.041403,            0.060174,                   0,             0.94841,             0.94622,             0.97676,             0.54402,            0.037731,            0.052883,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.041977,            0.065136,                   0,             0.94841,             0.94622,             0.97676,             0.54402,            0.037731,            0.052883,                   0,            0.003565,            0.003565,            0.003565
