               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12231,            0.068533,                   0,          9.8039e-05,           0.0023041,          4.9161e-05,          1.4748e-05,              0.1258,            0.072845,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12944,            0.069767,                   0,          0.00029412,           0.0069124,          0.00014851,          2.4776e-05,             0.12301,            0.071762,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.12606,            0.079706,                   0,          0.00063725,            0.014977,          0.00032534,          5.7756e-05,             0.11894,            0.071218,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.12352,            0.080728,                   0,           0.0012745,            0.029954,          0.00066025,          0.00013307,             0.11584,            0.070638,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.12125,            0.079613,                   0,           0.0041176,            0.096774,           0.0023189,          0.00048241,             0.11088,            0.069621,                   0,            0.078305,            0.002305,            0.002305
                   5,             0.11654,            0.083471,                   0,            0.011275,             0.26498,            0.009639,           0.0019318,              0.1054,            0.067989,                   0,            0.073756,           0.0027564,           0.0027564
                   6,             0.11314,            0.079199,                   0,            0.075019,             0.20995,            0.044244,           0.0086296,             0.10127,            0.061596,                   0,            0.069198,            0.003198,            0.003198
                   7,              0.1104,            0.073873,                   0,             0.12555,             0.31395,            0.096261,            0.020758,             0.10157,            0.056892,                   0,             0.06463,           0.0036297,           0.0036297
                   8,             0.09941,             0.06839,                   0,              0.1408,             0.33871,             0.11274,            0.025298,            0.095645,            0.072219,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.093818,            0.071456,                   0,            0.067205,             0.59677,            0.059021,            0.014544,            0.093031,            0.079795,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.087383,             0.06252,                   0,            0.077978,             0.59793,            0.070336,            0.018089,            0.091452,             0.06759,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.091803,            0.069468,                   0,             0.12847,             0.24885,             0.10684,            0.022853,             0.11431,            0.054836,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.096896,            0.063453,                   0,             0.32983,             0.39055,             0.25472,            0.055316,            0.083718,            0.057176,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.078699,            0.058307,                   0,             0.20177,             0.37212,             0.18732,            0.043043,            0.085949,            0.054114,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.090217,            0.064173,                   0,             0.19156,             0.40323,               0.174,            0.043874,            0.083755,            0.053075,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.083648,            0.064502,                   0,             0.18138,             0.63479,             0.18004,            0.047126,            0.087669,            0.051409,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.082179,            0.065558,                   0,             0.16498,             0.38018,             0.14052,            0.033289,            0.097615,            0.049177,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.089989,            0.053005,                   0,             0.23456,             0.43088,              0.2342,            0.051017,            0.079767,            0.048134,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.087776,            0.061657,                   0,             0.36651,             0.46544,             0.36596,             0.10852,            0.098866,            0.044345,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.081119,            0.060228,                   0,             0.63176,             0.60138,             0.62073,              0.1885,            0.095506,             0.04689,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.084408,            0.058261,                   0,             0.68794,             0.61175,             0.66237,             0.23312,            0.082414,            0.045583,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.085639,            0.067828,                   0,             0.72554,             0.64171,             0.70076,             0.26706,            0.091942,            0.041784,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.085448,            0.060462,                   0,             0.50729,             0.45853,             0.40866,            0.086134,              0.0761,            0.048341,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.066072,             0.06654,                   0,              0.1226,             0.28226,            0.091848,            0.017976,            0.097317,            0.070386,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.082307,             0.06124,                   0,             0.56042,             0.72412,             0.65654,             0.23937,            0.070716,            0.044174,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.083907,            0.050427,                   0,             0.09299,             0.71083,            0.088543,            0.030135,            0.098058,            0.048739,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.085626,            0.054609,                   0,             0.74368,             0.68858,             0.73536,             0.22046,            0.084977,            0.038865,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.076584,            0.057346,                   0,              0.4061,             0.51843,             0.38938,            0.090581,            0.078666,            0.043329,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.077643,            0.056775,                   0,             0.51481,             0.72581,             0.58189,             0.19658,            0.077221,            0.044924,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.074127,            0.063639,                   0,             0.25836,             0.76382,             0.25592,             0.10341,            0.069982,            0.055723,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.065421,            0.075728,                   0,             0.38209,              0.6947,             0.48434,             0.17053,            0.060129,            0.059891,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.060791,             0.06699,                   0,             0.58674,             0.74539,             0.73345,             0.28461,            0.059562,            0.052302,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.067352,            0.058748,                   0,             0.33929,             0.54546,             0.38246,              0.1136,            0.076717,            0.050399,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.068118,            0.057808,                   0,             0.62177,             0.72535,             0.66451,             0.25172,            0.054289,            0.046631,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.063989,            0.062254,                   0,             0.53519,             0.64171,             0.53484,             0.15329,            0.071361,            0.047614,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.055657,            0.059672,                   0,             0.24705,             0.54839,              0.2304,            0.066221,             0.07782,            0.053411,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.067844,            0.069243,                   0,             0.71268,             0.79443,             0.80295,              0.3732,            0.047287,            0.045257,                   0,            0.006535,            0.006535,            0.006535
                  37,               0.057,            0.057637,                   0,             0.39798,              0.6682,             0.44731,             0.16492,            0.068509,            0.050217,                   0,            0.006436,            0.006436,            0.006436
