               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046864,             0.04645,                   0,             0.92661,             0.96312,               0.964,             0.58924,            0.037263,            0.036272,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.047798,            0.047784,                   0,             0.94717,             0.95816,             0.97752,             0.61741,            0.036157,            0.035615,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.047513,            0.047749,                   0,             0.93583,             0.95674,             0.96858,             0.59559,            0.037427,            0.035332,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.047128,            0.045778,                   0,             0.95389,             0.95816,             0.98279,             0.61573,            0.036167,            0.033637,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.045972,            0.045004,                   0,             0.95037,             0.96419,             0.98397,             0.62913,            0.037683,            0.034042,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.043343,            0.044944,                   0,             0.96195,             0.96811,             0.98495,             0.63239,            0.036889,            0.033358,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.046112,            0.044472,                   0,             0.96533,             0.96768,             0.98352,             0.61717,            0.036092,             0.03306,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.043219,            0.044305,                   0,             0.96188,             0.97092,             0.98619,             0.64742,             0.03823,            0.033214,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.046955,            0.048206,                   0,             0.95957,             0.97376,             0.98467,             0.61077,            0.039326,            0.034355,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.041818,            0.043209,                   0,             0.96239,              0.9695,             0.98431,             0.61015,            0.038132,            0.033941,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.043752,            0.043811,                   0,             0.96803,             0.97021,              0.9857,             0.63355,            0.035307,            0.033252,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,             0.04382,            0.043593,                   0,             0.97216,             0.97305,             0.98668,              0.6447,            0.032751,            0.032674,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.042284,            0.043669,                   0,             0.96281,             0.97322,             0.98503,             0.65177,            0.033397,            0.032159,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.042634,            0.049538,                   0,             0.96212,             0.97263,             0.98479,              0.6539,            0.033456,             0.03296,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.042225,            0.045016,                   0,              0.9669,             0.96809,              0.9853,             0.64999,            0.034119,            0.031965,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040932,            0.042723,                   0,             0.96266,              0.9766,             0.98554,             0.66576,            0.032795,            0.032034,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.040467,            0.043342,                   0,             0.96005,             0.97149,             0.98572,             0.65749,            0.033101,            0.031414,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040409,            0.041058,                   0,             0.95332,             0.97163,              0.9859,             0.66775,            0.033687,            0.031984,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.041525,             0.04281,                   0,             0.95743,              0.9729,             0.98455,             0.66243,            0.032593,            0.032385,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.039193,            0.039831,                   0,             0.96314,             0.96809,             0.98475,             0.65574,             0.03272,            0.032064,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.040424,            0.041613,                   0,             0.96558,              0.9773,             0.98786,             0.66245,            0.032402,             0.03203,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.040103,            0.044959,                   0,             0.96726,             0.97589,             0.98904,             0.66483,            0.032881,            0.031612,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.039755,            0.040031,                   0,             0.96915,             0.98047,              0.9899,             0.67732,            0.031624,            0.031007,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.03966,            0.042868,                   0,             0.97523,              0.9774,             0.98991,             0.68542,            0.031428,            0.030831,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.037242,            0.043288,                   0,             0.96514,             0.98227,             0.98986,             0.67805,            0.031819,            0.030644,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,             0.03917,            0.042429,                   0,             0.97108,             0.97655,             0.99035,             0.67499,            0.031701,            0.030815,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.037521,            0.039818,                   0,             0.97184,             0.97891,              0.9908,             0.65867,            0.033088,            0.030483,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.038735,            0.039818,                   0,             0.97187,             0.98014,             0.99001,             0.67606,            0.031238,            0.030927,                   0,            0.006832,            0.006832,            0.006832
