               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12932,            0.065849,                   0,          0.00026882,           0.0070922,          0.00013549,          2.3015e-05,             0.12377,            0.067328,                   0,              0.0865,              0.0015,              0.0015
                   1,             0.12331,            0.075021,                   0,           0.0019892,            0.052482,           0.0011142,          0.00022135,             0.11732,            0.064403,                   0,            0.072085,           0.0030847,           0.0030847
                   2,             0.11609,            0.069467,                   0,            0.019382,             0.51135,            0.033618,           0.0068456,             0.10685,             0.06031,                   0,            0.057653,           0.0046535,           0.0046535
                   3,               0.107,            0.068296,                   0,             0.20116,             0.28369,             0.13266,            0.029414,             0.10925,            0.053663,                   0,            0.043206,           0.0062064,           0.0062064
                   4,             0.10939,            0.061137,                   0,             0.11262,             0.24397,            0.059361,            0.010876,             0.11837,            0.048421,                   0,            0.028744,           0.0077436,           0.0077436
                   5,             0.10126,            0.064784,                   0,             0.02884,             0.56028,            0.023983,           0.0053478,             0.10666,            0.058714,                   0,            0.014265,           0.0092649,           0.0092649
